Rank,TeamId,TeamName,LastSubmissionDate,score,SubmissionCount,TeamMemberUserNames
1,16977,falloutboy,"2012-07-03 19:42:46",0.56539,50,pprett
2,16701,"Martin & Eu Jin & Chris Raimondi","2012-07-03 22:58:11",0.56954,57,"chrisraimondi,ejlok1,martinoleary"
3,16920,Gxav,"2012-07-03 23:36:04",0.57218,33,xavierconort
4,16795,Odile-the-shrew,"2012-07-03 00:50:39",0.57366,35,"benoitplante,danid25341"
5,16682,"PlanetThanet & Stefan Henß & SirGuessalot","2012-07-03 21:25:00",0.57607,87,"jasontigg,shenss,sirguessalot"
6,18070,yuenking,"2012-07-03 14:30:30",0.57778,26,yuenking
7,17673,"liwo liht","2012-07-03 20:47:54",0.57867,11,liwoliht
8,16739,Qooma,"2012-07-03 01:30:54",0.58024,41,ccccat
9,16939,"Sali Mali","2012-06-10 01:59:28",0.58311,44,salimali
10,16942,"Indy Actuaries","2012-07-02 22:19:11",0.58432,10,"biasvariance,nschneider"
11,19323,alfnie,"2012-07-03 19:01:22",0.58473,19,alfnie
12,16668,"Alexander  Larko","2012-06-03 01:48:50",0.58696,56,alexxanderlarko
13,16790,"jontix & Paweł","2012-07-03 09:35:09",0.58714,48,"jontix,paweljankiewicz"
14,17916,Montblanc,"2012-07-03 19:13:41",0.58787,25,jmeynet
15,18405,HappyHour,"2012-07-03 15:11:55",0.58925,36,happyhour
16,18449,"Working on it","2012-07-03 19:44:02",0.59042,16,viveksha
17,17780,sveitser,"2012-07-03 06:17:38",0.59080,53,sveitser
18,19273,"D'yakonov Alexander","2012-07-03 19:50:16",0.59118,18,dyakonov
19,18383,LTT1,"2012-07-02 23:53:09",0.59281,26,luistp001
20,17250,Tobias,"2012-07-03 18:52:03",0.59324,28,"chon27653,dreamflasher,tobias2"
21,17822,Emanuele,"2012-07-02 10:35:22",0.59439,24,emanuele
22,17045,"Ivan Guz","2012-07-03 23:33:29",0.59509,37,ivanguz
23,18786,statvis,"2012-07-03 22:48:56",0.59631,12,statvis
24,16738,"Wayne Zhang","2012-07-03 20:02:46",0.59816,30,waynezhang
25,18361,RafalG,"2012-07-03 20:43:56",0.59820,7,rafalg
26,16662,"Killian O'Connor","2012-06-23 07:00:58",0.59852,37,killianoconnor
27,16694,jsf,"2012-07-03 19:30:49",0.59876,39,joseffeigl
28,19365,seelary,"2012-07-03 16:38:29",0.59946,18,mitrofan
29,16681,"Efimov + Bers","2012-07-03 19:22:42",0.59954,35,"efimov,harriken"
30,19593,AussieTim,"2012-07-03 18:54:30",0.60101,3,timveitch
31,18907,zzol,"2012-06-22 04:33:17",0.60224,7,alexzpoles
32,16702,"Herra Huu","2012-06-28 18:30:54",0.60226,21,herrahuu
33,16793,JKARP,"2012-07-03 18:18:45",0.60345,48,jasonkarpeles
34,18970,pc22,"2012-06-18 20:30:26",0.60361,2,pc2246925
35,18912,n_m,"2012-07-03 15:14:36",0.60370,17,naokazumizuta
36,16776,Zstats,"2012-05-12 05:41:33",0.60381,12,zstats
37,19733,Nicolas,"2012-07-03 18:35:53",0.60610,2,nicolas38700
