Rank,TeamId,TeamName,LastSubmissionDate,score,SubmissionCount,TeamMemberUserNames
1,341928,"Team Mystic","2016-08-30 22:11:26",0.42690,84,"jiweiliu,xiaozhouwang"
2,342091,"The Slippery Appraisals","2016-08-30 23:14:15",0.42701,233,"alexxanderlarko,bpavlyshenko,dmitrylarko,psilogram,stasg7"
3,340395,"Clustifier & Alex & Andrey","2016-08-30 17:16:46",0.42809,124,"alexryzhkov,clustifier,ekydna"
4,348186,"Gilberto & Regis","2016-08-30 23:54:48",0.42999,123,"regisely,titericz"
5,346352,Beaver48,"2016-08-25 07:35:57",0.43215,38,beaverdm
6,362604,n_m,"2016-08-30 13:44:20",0.43313,14,naokazumizuta
7,337035,"--- bimbos below this line ---","2016-07-02 08:23:18",0.43415,28,mjahrer
8,356765,EnvyMyFieldsMedal,"2016-08-30 22:41:07",0.43436,24,envymyfieldsmedal
9,341950,PradeepHegde,"2016-08-30 13:19:40",0.43442,75,phegde
10,341120,"Hartmut Ott","2016-08-17 03:26:00",0.43541,32,hartmut
11,344100,ML-Bure,"2016-08-30 22:35:15",0.43561,9,mlbure
12,339729,gmobaz,"2016-08-30 16:33:59",0.43579,64,gmobaz
13,344183,GliGli,"2016-08-09 07:31:18",0.43593,83,gligli
14,346578,"Cutting Edge XGBoost","2016-08-30 19:28:02",0.43594,74,"sterby,voltaire"
15,341795,CPMP,"2016-08-30 18:59:06",0.43612,50,cpmpml
16,362970,Ash,"2016-08-30 20:49:49",0.43635,22,shovkun
17,340457,"Too Simple Sometimes Naive","2016-08-30 10:59:09",0.43653,114,"amazingbob,qwang88"
18,350529,LazyKnight,"2016-08-30 18:46:54",0.43664,32,nit458
19,340041,"Andriy Gryshchuk","2016-08-29 20:47:33",0.43666,102,anmiko
20,343538,Maverix,"2016-08-30 23:57:23",0.43669,47,mohitmohan
21,359140,NimaShahbazi,"2016-08-30 22:11:08",0.43684,31,nimashahbazi
22,357293,Artem,"2016-08-30 09:50:36",0.43687,18,rushter
23,338818,"SRK, H2O.ai, and New Model Army","2016-08-30 23:38:31",0.43722,93,"konradb,mlandry,mpearmain,sudalairajkumar"
24,340614,RP,"2016-08-30 23:39:19",0.43738,46,"honeybadger,sasrdw"
25,342524,SatendraKumar,"2016-08-29 04:53:19",0.43776,34,satendrakumar
26,340597,"Je n'ai pas faim!","2016-08-30 15:47:29",0.43785,94,"mythicalboy,zonemercy"
27,345796,lambda,"2016-08-30 19:40:02",0.43788,36,m4ch1n3
28,350435,"Sandeep Sikka","2016-08-29 04:06:07",0.43799,5,bluearrow
29,347903,krosh88,"2016-08-30 21:05:42",0.43814,47,krosh88
30,340935,MrOoijer,"2016-08-30 06:47:22",0.43816,92,mrooijer
31,342877,Topspin26,"2016-08-28 07:48:37",0.43837,36,topspin
32,356974,"Alexey Matveev","2016-08-30 21:44:15",0.43844,24,alexeylive
33,339013,"Anirudh Raghavan","2016-08-28 16:37:03",0.43862,60,anirag
34,338534,Li-Der,"2016-08-30 19:29:45",0.43899,24,liderchang
35,338760,gk_mbo,"2016-08-30 16:51:16",0.43908,51,girmak
36,362748,zhengzhou,"2016-08-30 18:02:07",0.43936,5,japan1234
37,338018,"Paulo Pinto","2016-08-30 22:30:12",0.43938,191,paulorzp
38,358906,"Li Li & indradenbakker","2016-08-30 21:51:28",0.43939,25,"aikinogard,indradenbakker"
39,343098,SweetTooth,"2016-07-20 16:16:12",0.43940,14,ilyatrofimov
40,340696,"Tod Wright","2016-08-30 21:00:40",0.43945,30,tmwright
41,353517,"Bimbokémon GO","2016-08-30 04:22:09",0.43953,90,aldente
42,349215,"I Love Jacky","2016-08-30 10:50:49",0.43967,64,"benhsieh,del=9a7052a00b28ff38"
43,345077,SF,"2016-08-30 18:41:33",0.43976,83,"del=8d45521fe3ef8043,ognenpoposki,philldonn"
44,346890,"Alexander Semenov","2016-08-29 07:59:17",0.43979,17,alexsemenov
45,340503,"CeShine Lee","2016-08-09 13:04:37",0.43985,66,ceshine
46,340769,"Mattias Fagerlund","2016-08-13 15:30:32",0.43995,47,mfagerlund
47,337109,Ionstine,"2016-08-30 13:49:42",0.44001,108,zheng11
48,338261,HDKIM,"2016-08-30 23:31:58",0.44003,61,leadbest
49,336632,MA,"2016-08-30 16:03:34",0.44020,59,mathurinache
50,338238,johnsonav,"2016-08-28 05:01:22",0.44031,51,johnsonav
51,355949,"Dmitry Petrov","2016-08-30 17:47:17",0.44055,33,deaddy
52,361643,"Evgeny Patekha","2016-08-30 20:07:46",0.44071,29,johnpateha
53,350240,KMen,"2016-08-30 22:29:09",0.44078,69,kmenou
54,340922,"Bimbo loco","2016-08-30 09:49:53",0.44121,16,"aarchi,fabienvs,ftestard,marionc"
55,340299,"Ben Gorman","2016-08-29 23:48:18",0.44127,44,ben519
56,361189,64Knots,"2016-08-30 23:48:06",0.44160,28,"caracena,hardbyte,pennyroyallus,youph1975"
57,353351,"Denis Vlasov","2016-08-30 15:53:06",0.44164,23,curlyb
58,353088,Menno,"2016-08-13 22:08:29",0.44167,16,mennotaanman
59,345094,"Neural BIMBOs","2016-08-30 11:27:12",0.44172,36,"gertjac,kazanova"
60,350458,"Victor Matvienko","2016-08-30 23:19:09",0.44173,16,matvict
61,361890,PJ,"2016-08-30 19:29:25",0.44176,38,"jindal,priyanshu0110"
62,344662,"Kele XU","2016-08-30 20:35:46",0.44204,77,"fengari,kelexu,poteman"
63,339576,Medrr,"2016-08-08 06:39:10",0.44218,55,medial
64,342297,PervasiveBimbo,"2016-08-29 19:21:24",0.44239,39,rlomascolo
65,344586,KGFeMan,"2016-08-29 07:14:48",0.44255,102,krishnag
66,351583,inf_P,"2016-08-02 08:31:28",0.44279,7,syyscn
67,338430,"Dylan Hogg","2016-08-29 11:49:47",0.44318,15,dylanhogg
68,341893,BIMBOTRON,"2016-08-30 23:44:16",0.44322,92,elbartto
69,340073,"Joseph O'Connor","2016-07-29 09:41:24",0.44322,31,joconnor
70,338431,"Lazy Cats","2016-08-30 07:28:27",0.44334,131,"kantonistova,vlad0110"
71,342476,ln,"2016-08-27 18:10:14",0.44362,29,nazarov
72,347310,VincentHaines,"2016-08-28 01:34:57",0.44368,22,vhaines
